#SampleID	TypeExp	Unique	SamplePlotName	Species	Genus	PutativeStatus	SourceID	SourceIDfig	PMFID	SourceType	SourceStatus	TurtleID	Locality	SourceSampleDate	CultureIsolationDate	MrDNASample	BarcodeSequence	LinkerPrimerSequence	BarcodeName	ProjectName	Region16SrRNA	Primers
KF0052	monoculture	KF0052	DM0052	Achnanthes elongata	Achnanthes	epizoic	TB89	TB89	PMFTB0052	carapace	During Hospitalization	ID034	Adriatic Sea	2019-01-22	2019-02-04	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0053	monoculture	KF0053	DM0053	Achnanthes elongata	Achnanthes	epizoic	TB89	TB89	PMFTB0053	carapace	During Hospitalization	ID034	Adriatic Sea	2019-01-22	2019-02-04	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0054	monoculture	KF0054	DM0054	Achnanthes elongata	Achnanthes	epizoic	TB89	TB89	PMFTB0054	carapace	During Hospitalization	ID034	Adriatic Sea	2019-01-22	2019-02-04	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0060	monoculture	KF0060	DM0060	Achnanthes elongata	Achnanthes	epizoic	TB89	TB89	PMFTB0060	carapace	During Hospitalization	ID034	Adriatic Sea	2019-01-22	2019-02-13	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0070	monoculture	KF0070	DM0070	Amphora sp. 1	Amphora	non-epizoic	TB89	TB89	PMFTB0070	carapace	During Hospitalization	ID034	Adriatic Sea	2019-01-22	2019-02-12	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0077	monoculture	KF0077	DM0077	Poulinea lepidochelicola	Poulinea	epizoic	TB90	TB90	PMFTB0077	skin	During Hospitalization	ID034	Adriatic Sea	2019-01-22	2019-02-27	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0123	monoculture	KF0123	DM0123	Diploneis sp.	Diploneis	non-epizoic	TB115	TB115	PMFTB0123	carapace	During Hospitalization	ID047	Adriatic Sea	2019-05-08	2019-06-27	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0129	monoculture	KF0129	DM0129	Diploneis sp.	Diploneis	non-epizoic	TB115	TB115	PMFTB0129	carapace	During Hospitalization	ID047	Adriatic Sea	2019-05-08	2019-06-27	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0136	monoculture	KF0136	DM0136	Diploneis sp.	Diploneis	non-epizoic	TB115N	TB115	PMFTB0136	carapace	During Hospitalization	ID047	Adriatic Sea	2019-06-09	2019-07-02	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0147	monoculture	KF0147	DM0147	Fallacia sp.	Fallacia	non-epizoic	TB115N	TB115	PMFTB0147	carapace	During Hospitalization	ID047	Adriatic Sea	2019-06-09	2019-07-02	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0150	monoculture	KF0150	DM0150	Achnanthes squaliformis	Achnanthes	epizoic	TB139	TB139	PMFTB0150	carapace	After Hospitalization	ID010	Adriatic Sea	2019-10-25	2019-10-30	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0168	monoculture	KF0168	DM0168	Achnanthes elongata	Achnanthes	epizoic	TB155	TB155	PMFTB0168	carapace	During Hospitalization	ID073	Adriatic Sea	2019-11-20	2019-12-03	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0170	monoculture	KF0170	DM0170	Achnanthes elongata	Achnanthes	epizoic	TB155	TB155	PMFTB0170	carapace	During Hospitalization	ID073	Adriatic Sea	2019-11-20	2019-11-21	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0177	monoculture	KF0177	DM0177	Achnanthes squaliformis	Achnanthes	epizoic	TB139	TB139	PMFTB0177	carapace	After Hospitalization	ID010	Adriatic Sea	2019-10-25	2019-12-18	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0178	monoculture	KF0178	DM0178	Nitzschia sp.	Nitzschia	non-epizoic	TB140	TB140	PMFTB0178	skin	After Hospitalization	ID010	Adriatic Sea	2019-10-25	2019-12-18	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0179	monoculture	KF0179	DM0179	Entomoneis sp.	Entomoneis	non-epizoic	TB140	TB140	PMFTB0179	skin	After Hospitalization	ID010	Adriatic Sea	2019-10-25	2019-12-18	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0181	monoculture	KF0181	DM0181	Psammodictyon panduriforme 1	Psammodictyon	non-epizoic	TB155	TB155	PMFTB0181	carapace	During Hospitalization	ID073	Adriatic Sea	2019-11-20	2019-12-18	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0182	monoculture	KF0182	DM0182	Amphora sp. 2	Amphora	non-epizoic	TB155	TB155	PMFTB0182	carapace	During Hospitalization	ID073	Adriatic Sea	2019-11-20	2019-12-18	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0183	monoculture	KF0183	DM0183	Psammodictyon panduriforme 2	Psammodictyon	non-epizoic	TB155	TB155	PMFTB0183	carapace	During Hospitalization	ID073	Adriatic Sea	2019-11-20	2019-12-18	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
