#SampleID	TypeExp	Unique	SamplePlotName	Species	Genus	PutativeStatus	SourceID	SourceIDfig	PMFID	Harvest	MiSeqRun	MiSeqRunPlace	SourceType	SourceStatus	TurtleID	Locality	SourceSampleDate	CultureIsolationDate	CultureDNAHarvestDate	MrDNASample	BarcodeSequence	LinkerPrimerSequence	BarcodeName	ProjectName	Region16SrRNA	Primers
KF0052-1	monoculture	KF0052	DM0052	Achnanthes elongata	Achnanthes	epizoic	TB89	TB89	PMFTB0052	1st	third	Microsynth	carapace	During Hospitalization	ID034	Adriatic Sea	2019-01-22	2019-02-04	2020-11-29	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0052-2	monoculture	KF0052	DM0052	Achnanthes elongata	Achnanthes	epizoic	TB89	TB89	PMFTB0052	2nd	third	Microsynth	carapace	During Hospitalization	ID034	Adriatic Sea	2019-01-22	2019-02-04	2020-12-05	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0053-2	monoculture	KF0053	DM0053	Achnanthes elongata	Achnanthes	epizoic	TB89	TB89	PMFTB0053	2nd	third	Microsynth	carapace	During Hospitalization	ID034	Adriatic Sea	2019-01-22	2019-02-04	2020-12-29	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0053-3	monoculture	KF0053	DM0053	Achnanthes elongata	Achnanthes	epizoic	TB89	TB89	PMFTB0053	3rd	third	Microsynth	carapace	During Hospitalization	ID034	Adriatic Sea	2019-01-22	2019-02-04	2020-12-05	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0054-1	monoculture	KF0054	DM0054	Achnanthes elongata	Achnanthes	epizoic	TB89	TB89	PMFTB0054	1st	third	Microsynth	carapace	During Hospitalization	ID034	Adriatic Sea	2019-01-22	2019-02-04	2020-12-05	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0054-2	monoculture	KF0054	DM0054	Achnanthes elongata	Achnanthes	epizoic	TB89	TB89	PMFTB0054	2nd	third	Microsynth	carapace	During Hospitalization	ID034	Adriatic Sea	2019-01-22	2019-02-04	2020-12-11	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0060-2	monoculture	KF0060	DM0060	Achnanthes elongata	Achnanthes	epizoic	TB89	TB89	PMFTB0060	2nd	third	Microsynth	carapace	During Hospitalization	ID034	Adriatic Sea	2019-01-22	2019-02-13	2020-11-15	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0060-3	monoculture	KF0060	DM0060	Achnanthes elongata	Achnanthes	epizoic	TB89	TB89	PMFTB0060	3rd	third	Microsynth	carapace	During Hospitalization	ID034	Adriatic Sea	2019-01-22	2019-02-13	2020-11-29	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0070-1	monoculture	KF0070	DM0070	Amphora sp. 1	Amphora	non-epizoic	TB89	TB89	PMFTB0070	1st	third	Microsynth	carapace	During Hospitalization	ID034	Adriatic Sea	2019-01-22	2019-02-12	2020-11-15	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
KF0070-2	monoculture	KF0070	DM0070	Amphora sp. 1	Amphora	non-epizoic	TB89	TB89	PMFTB0070	2nd	third	Microsynth	carapace	During Hospitalization	ID034	Adriatic Sea	2019-01-22	2019-02-12	2020-11-29	NA	NA	NA	NA	2021Monocultbiome	V4	515F806R
