index,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Hydrogenedentes,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Myxococcota,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__NB1-j,d__Bacteria;p__Sumerlaeota,d__Bacteria;p__WPS-2,d__Archaea;p__Crenarchaeota
KF0052,12764,55550,10029,0,159,0,0,60,0,0,0,0,0,0,0,0,0
KF0053,7975,40108,10527,4,0,0,0,0,2,3495,0,0,130,0,0,0,0
KF0054,6120,62713,7527,0,0,2,0,0,0,4,0,0,0,0,0,0,0
KF0060,22237,44597,24849,4,0,0,9,227,0,0,0,0,0,0,0,0,0
KF0070,1764,78149,17086,0,0,0,0,0,0,0,0,0,0,0,0,0,8
KF0077,27102,36999,42992,685,0,5,70,0,3,0,0,0,0,0,0,0,0
KF0123,331,87046,7507,0,0,145,0,460,1634,4951,189,0,3,7,0,0,0
KF0129,287,70796,10414,0,0,2522,0,324,345,4101,0,0,0,0,0,0,0
KF0136,0,143788,14985,0,0,0,0,0,9,0,0,0,0,0,0,0,0
KF0147,132,78594,2523,0,0,0,0,0,2,0,0,0,0,0,0,0,0
KF0150,5604,56306,24028,4130,0,4,0,442,0,0,0,0,0,0,0,0,0
KF0168,3101,65370,14090,18910,0,0,0,0,0,101,0,0,0,0,0,0,0
KF0170,0,82668,13718,0,0,0,0,0,5,0,0,0,0,0,0,0,0
KF0177,3612,65033,31158,1959,0,0,0,0,0,0,0,0,0,0,19,0,0
KF0178,0,26279,5981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0179,1222,103638,1645,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0181,2399,35229,20684,2037,0,0,0,126,0,0,0,0,0,0,0,0,0
KF0182,7,115748,5097,0,0,0,0,71,0,0,0,0,0,0,0,0,0
KF0183,426,22803,11016,694,0,0,0,72,0,0,0,443,0,0,0,3,0
