index,d__Bacteria;p__Planctomycetota;c__Planctomycetes,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia,d__Bacteria;p__Planctomycetota;c__Phycisphaerae,d__Bacteria;p__Planctomycetota;c__OM190,d__Bacteria;p__Bacteroidota;c__Kapabacteria,d__Bacteria;p__Bacteroidota;c__Rhodothermia,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia,d__Bacteria;p__Hydrogenedentes;c__Hydrogenedentia,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,d__Bacteria;p__Actinobacteriota;__,d__Bacteria;p__Firmicutes;c__Bacilli,d__Bacteria;p__Actinobacteriota;c__Actinobacteria,d__Bacteria;p__Myxococcota;c__Polyangia,d__Bacteria;p__Chloroflexi;c__Anaerolineae,d__Bacteria;p__Firmicutes;c__Clostridia,d__Bacteria;p__Planctomycetota;c__028H05-P-BN-P5,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia,d__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group,d__Bacteria;p__NB1-j;c__NB1-j,d__Bacteria;p__Sumerlaeota;c__Sumerlaeia,d__Bacteria;p__Planctomycetota;c__BD7-11,d__Bacteria;p__WPS-2;c__WPS-2,d__Archaea;p__Crenarchaeota;c__Nitrososphaeria
KF0052,994,24208,7056,31342,0,11745,25,0,2973,159,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0053,1572,19305,8912,20803,4,5578,825,1615,0,0,0,0,0,0,2,0,3495,0,0,0,0,130,0,0,0,0,0
KF0054,468,22805,4893,39908,0,5639,13,193,2441,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
KF0060,563,22621,23615,21976,4,21674,0,0,1234,0,0,9,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0070,0,38915,11955,39234,0,1764,0,0,5131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
KF0077,7338,20471,40017,16528,685,9970,0,0,2975,0,5,70,0,0,3,0,0,0,0,2358,0,0,0,0,7436,0,0
KF0123,160,18589,5373,68457,0,141,30,0,2134,0,145,0,460,0,1634,0,4951,189,0,0,0,3,7,0,0,0,0
KF0129,117,17538,8552,53258,0,103,67,0,1862,0,44,0,324,2478,345,0,4101,0,0,0,0,0,0,0,0,0,0
KF0136,0,30084,13209,113704,0,0,0,0,1776,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0
KF0147,97,5873,2411,72721,0,35,0,7,105,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
KF0150,685,19767,24028,36539,4130,4919,0,0,0,0,0,0,442,0,0,4,0,0,0,0,0,0,0,0,0,0,0
KF0168,2965,16436,13411,48934,18910,3,133,679,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0
KF0170,0,22892,13718,59776,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
KF0177,1038,18891,22535,46142,1959,2574,0,8623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
KF0178,0,4354,5126,21925,0,0,0,0,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0179,67,19220,1642,84418,0,1155,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0181,1312,16876,20536,18353,2037,48,0,148,0,0,0,0,126,0,0,0,0,0,0,1039,0,0,0,0,0,0,0
KF0182,7,16742,5097,99006,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0183,306,8499,11014,14304,694,14,0,2,0,0,0,0,72,0,0,0,0,0,0,106,443,0,0,0,0,3,0
