index,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kordiimonadales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Bradymonadales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales,d__Bacteria;p__Planctomycetota;c__OM190;o__OM190,d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__OM182_clade,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Defluviicoccales,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales,d__Bacteria;p__Hydrogenedentes;c__Hydrogenedentia;o__Hydrogenedentiales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,d__Bacteria;p__Actinobacteriota;__;__,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__PB19,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales,d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__NRL2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,d__Bacteria;p__Planctomycetota;c__028H05-P-BN-P5;o__028H05-P-BN-P5,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Thalassobaculales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales,d__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group;o__BD2-11_terrestrial_group,d__Bacteria;p__NB1-j;c__NB1-j;o__NB1-j,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales,d__Bacteria;p__Sumerlaeota;c__Sumerlaeia;o__Sumerlaeales,d__Bacteria;p__Planctomycetota;c__BD7-11;o__BD7-11,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales,d__Bacteria;p__WPS-2;c__WPS-2;o__WPS-2,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales,d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales,d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Tenderiales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis
KF0052,323,189,81,0,56,1834,0,5471,11745,1031,212,25795,29,402,671,852,21614,25,0,0,2973,3178,0,159,0,0,119,0,0,0,0,0,554,0,0,0,0,0,531,16,54,0,0,0,0,0,0,0,0,123,60,0,0,3,0,0,0,0,0,0,0,462,0,0,0,0
KF0053,0,6325,16,0,0,12246,0,7621,5578,1291,0,5250,0,625,1572,11588,646,825,1615,10,0,2836,0,0,0,0,105,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,3495,461,0,0,0,0
KF0054,0,1002,0,0,0,24494,0,4550,5639,343,25,11712,0,391,468,137,19995,13,193,0,2441,2639,27,0,2,0,145,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083,0,0,0,0,0,0,0,0,0,0,4,908,0,0,0,0
KF0060,112,27,0,1351,4,15106,4,21268,21674,996,542,3849,191,681,451,938,20238,0,0,0,1234,1003,0,0,0,0,0,9,227,0,0,0,0,0,1148,0,0,0,0,4,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,0,0
KF0070,0,3481,11,0,0,8869,0,11084,1764,871,42,16783,689,550,0,2290,31852,0,0,0,5131,2916,0,0,0,0,0,0,0,0,0,0,0,0,873,0,0,0,0,0,8858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935,0,8,0,0
KF0077,5856,23,5,139,41,7874,0,38700,9970,1178,577,5463,0,822,1482,3914,14424,0,0,0,2975,1033,0,0,5,0,0,70,0,0,0,0,0,685,1900,0,0,0,276,0,32,0,0,2358,0,0,0,0,0,389,0,0,0,0,0,7436,3,0,0,0,0,226,0,0,0,0
KF0123,54,5592,189,0,41,46804,0,3540,141,1669,767,16788,139,287,106,1693,6510,30,0,401,2130,2360,304,0,145,262,216,0,460,0,1634,0,0,0,672,522,0,4951,1846,160,0,189,0,0,0,164,0,47,144,599,0,3,7,0,0,0,0,0,4,0,0,3,0,0,19,681
KF0129,34,5366,176,10,0,38939,0,7953,103,393,1757,12578,279,266,83,2400,3570,67,0,118,1862,875,117,0,44,526,178,0,324,2478,345,0,3,0,323,0,0,4101,2065,234,0,0,0,0,0,193,0,85,157,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,95
KF0136,0,1307,38,0,0,392,0,13168,0,41,9,109416,0,720,0,109,19982,0,0,0,1776,1924,0,0,0,0,2161,0,0,0,0,0,0,0,0,1961,0,0,0,0,11,0,2,0,0,0,0,0,0,5758,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
KF0147,97,576,83,397,0,59,0,1767,35,247,656,72463,0,390,0,740,2164,0,7,6,105,0,0,0,0,3,9,0,0,0,0,2,0,0,0,0,0,0,955,190,3,0,0,0,0,0,0,0,30,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0150,685,5,200,0,1252,20002,0,24028,4919,0,10,11189,0,1394,0,1350,15556,0,0,0,0,3126,0,0,0,0,0,0,442,0,0,0,0,4130,0,0,4,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1904,0,0,0,0
KF0168,2040,534,19,0,0,47478,18673,12451,3,960,682,101,3132,1478,925,5550,4765,133,679,50,0,1069,0,0,0,0,276,0,0,0,0,0,0,237,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,50,0,0,0
KF0170,0,0,0,125,0,55587,0,13593,0,0,5423,16,454,290,0,2131,14594,0,0,0,0,3121,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1052,0,0,0,0
KF0177,1038,0,0,0,802,15810,0,22535,2574,0,262,26884,0,832,0,4149,12051,0,8623,0,0,2005,0,0,0,0,597,0,0,0,0,0,0,1959,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,19,0,0,198,0,0,0,1389,0,0,0,0
KF0178,0,1196,0,0,121,20125,0,4804,0,0,100,938,0,0,0,8,2929,0,0,0,855,660,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0
KF0179,0,0,0,0,0,53374,0,1510,1155,132,525,27431,12,86,67,3073,14347,0,3,53,0,1893,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863,0,0,0,0,0,0,0,0,0,0,0,1667,0,0,0,0
KF0181,372,510,545,10856,0,10569,0,8259,48,583,914,4330,0,269,940,3552,10511,0,148,342,0,2773,0,0,0,0,63,0,0,0,0,0,838,2037,0,0,0,0,0,0,0,0,0,1039,0,0,62,0,32,480,126,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0
