asv	id	Taxon	Confidence	KF0052	KF0053	KF0054	KF0060	KF0070	KF0077	KF0123	KF0129	KF0136	KF0147	KF0150	KF0168	KF0170	KF0177	KF0178	KF0179	KF0181	KF0182	KF0183	TB89	TB90	TB115	TB139	TB140	TB155	sumKF	sumTB	mutuals	status
ASV3270	3b5e5025d3eb814d0abf098474ba41c7	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas	0.832839735	13694	0	7634	4	12657	4976	3333	6645	0	0	0	0	16	4592	0	26649	3255	0	696	0	0	94	421	127	132	84151	774	65132874	both
ASV789	6a541c40739753ced29186dd53ad5003	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae	1	0	0	0	0	0	0	0	0	0	4	22728	0	0	0	0	0	0	0	0	0	0	11	2295	70	0	22732	2376	54011232	both
ASV2917	9fad0e97961eaed64ac123e21461a9aa	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Ruegeria	0.707063847	0	0	0	0	0	0	0	0	14986	183	0	0	0	0	0	0	0	0	0	0	0	935	154	46	546	15169	1681	25499089	both
ASV2906	6c24a055a4320b33ea2b5be173e73062	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Pseudophaeobacter	0.803203233	4239	323	14215	6734	19771	2873	216	0	0	0	6933	0	0	0	0	0	0	0	0	75	0	305	0	0	0	55304	380	21015520	both
ASV882	41355af3ca2ce847ec79ff4d5374ec0e	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Jejudonia; s__uncultured_Bacteroidetes	0.973447035	0	0	0	0	0	36294	19	0	0	3	212	0	0	0	0	0	0	0	0	21	14	32	192	30	14	36528	303	11067984	both
ASV2928	7f821b26f148d93626119f434dd5b5a5	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Sulfitobacter	0.941231616	0	258	0	0	0	10	0	0	0	23	1004	246	0	4189	0	49	277	0	66	48	0	1240	291	51	74	6122	1704	10431888	both
ASV2619	eb73aac3aa795a34035936b9a281cd93	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Stappiaceae; g__Labrenzia	0.956356554	716	4301	15	0	0	985	127	172	0	0	150	639	2131	9	0	218	1140	10928	995	0	0	168	61	37	42	22526	308	6938008	both
ASV3536	cb57ce02d911c1b3270f8186d5963213	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Porticoccaceae; g__Porticoccus; s__uncultured_bacterium	0.928053813	1175	0	0	801	12	368	556	875	0	0	1424	781	1667	864	0	0	682	0	518	255	104	304	0	0	13	9723	676	6572748	both
ASV1740	0c844b58c617cf65e1b7bb489d32b17f	d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Sandaracinaceae; g__Sandaracinus	0.988034036	0	3495	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1296	275	99	0	0	38	3499	1708	5976292	both
ASV3727	9a5c51551eba3e2ffc81da463cbaa746	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Nitrincolaceae; g__Neptuniibacter; s__uncultured_bacterium	0.778951819	0	0	0	0	0	0	0	0	0	0	0	0	0	11934	0	0	0	0	0	0	0	54	39	10	374	11934	477	5692518	both
ASV669	938fc716549ae8d0c876ab810ac8791d	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Crocinitomicaceae; g__Crocinitomix	0.999998986	0	0	0	0	0	0	0	0	0	0	0	9421	0	0	0	3	3125	994	5237	26	47	223	0	0	0	18780	296	5558880	both
ASV942	f936cc0095df2ce79b485df5f7fe631a	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Tenacibaculum	0.776778103	0	0	0	0	0	0	45	5010	5548	0	1088	1676	0	3	4523	0	2431	3917	181	0	0	94	58	21	0	24422	173	4225006	both
ASV1938	1cec033508f58eca9eef8b120ffe0415	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__Algisphaera; s__Algisphaera_agarilytica	0.862025112	0	0	324	0	0	2	0	0	0	0	4002	0	0	2574	0	7	0	0	0	0	0	32	528	24	14	6909	598	4131582	both
ASV2789	aba9e2d3c25ee990d4df4b445d3a2113	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.999999365	0	0	0	0	475	0	0	0	0	0	0	0	0	0	0	9597	0	0	0	0	0	33	196	26	113	10072	368	3706496	both
ASV2913	e5e387ec7dc9bcc6451ba5af9c578fc1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Roseovarius	0.890695547	0	0	0	0	0	0	0	0	1737	0	0	0	0	0	0	0	0	0	0	96	48	232	1653	45	25	1737	2099	3645963	both
ASV1039	228f882f8fd68ab5e310aa9bc78e1929	d__Bacteria; p__Bacteroidota; c__Kapabacteria; o__Kapabacteriales; f__Kapabacteriales; g__Kapabacteriales; s__uncultured_bacterium	0.997907584	0	1394	193	0	0	0	0	0	0	7	0	679	0	8623	0	3	148	0	2	20	17	132	15	17	102	11049	303	3347847	both
ASV3304	317b6b4e55b81cc3299906684bd669b6	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Colwelliaceae; g__Colwellia	0.999467128	0	0	0	0	0	0	0	0	0	0	0	0	0	9259	6	0	0	0	0	0	0	208	0	0	119	9265	327	3029655	both
ASV2576	8f98a556403f80d331ce81a2ff0f8fca	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Cohaesibacter; s__uncultured_bacterium	0.823723005	0	364	32	609	0	860	17	10	0	0	0	0	0	237	0	53	17	0	8	61	51	227	316	217	261	2207	1133	2500531	both
ASV1950	8c4e4b428de48228ff9498d2eb18afa0	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__Phycisphaera; s__uncultured_bacterium	0.89791608	8941	5367	5315	17630	0	9674	3	5	0	2	0	0	0	0	0	0	0	0	0	0	0	26	15	0	12	46937	53	2487661	both
