index,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Myxococcota,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__Campilobacterota,d__Archaea;p__Crenarchaeota,d__Bacteria;p__NB1-j,d__Archaea;p__Halobacterota,d__Bacteria;p__Deferribacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Spirochaetota,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Deinococcota,d__Archaea;p__Nanoarchaeota,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__Sumerlaeota,d__Bacteria;p__Calditrichota,d__Bacteria;p__Latescibacterota,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Dependentiae,d__Bacteria;p__WPS-2,d__Bacteria;p__MBNT15,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Hydrogenedentes,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Synergistota,d__Bacteria;p__Margulisbacteria,d__Bacteria;p__Dadabacteria
KF0052,55550,10029,0,0,0,0,0,12764,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0
KF0053,40108,10527,0,0,0,3495,0,7975,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0
KF0054,62713,7527,0,2,0,4,0,6120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0060,44597,24849,0,0,0,0,0,22237,227,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
KF0070,78149,17086,0,0,0,0,0,1764,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0077,36999,42992,0,5,0,0,0,27102,0,0,0,0,0,0,0,0,3,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0
KF0123,87046,7507,189,145,0,4951,0,331,460,0,0,0,0,7,0,0,1634,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
KF0129,70796,10414,0,2522,0,4101,0,287,324,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0136,143788,14985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0147,78594,2523,0,0,0,0,0,132,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0150,56306,24028,0,4,0,0,0,5604,442,0,0,0,0,0,0,0,0,4130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0168,65370,14090,0,0,0,101,0,3101,0,0,0,0,0,0,0,0,0,18910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0170,82668,13718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0177,65033,31158,0,0,0,0,0,3612,0,0,0,0,0,0,0,0,0,1959,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
KF0178,26279,5981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0179,103638,1645,0,0,0,0,0,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0181,35229,20684,0,0,0,0,0,2399,126,0,0,0,0,0,0,0,0,2037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0182,115748,5097,0,0,0,0,0,7,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0183,22803,11016,0,0,443,0,0,426,72,0,0,0,0,0,0,0,0,694,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
TB89,24609,10634,674,2156,9629,2839,167,159,59,0,0,283,0,0,0,15,100,761,348,28,5,2297,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0
TB90,23487,7730,426,2905,29534,1250,286,29,104,10,0,282,0,0,0,0,189,382,342,41,0,378,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
TB115,80623,29368,2146,294,2259,1788,5153,3993,12885,96,16,3543,49,411,17,24,488,1189,709,174,0,1031,24,56,0,60,0,0,15,49,3,27,0,0,0,0,5
TB139,87504,24543,419,2237,5228,1331,4131,5702,1006,56,10,196,31,291,0,34,332,492,12712,31,0,41,14,63,17,0,5,58,0,13,4,19,7,0,2,0,6
TB140,88057,23016,809,5265,16482,2471,3270,1102,885,327,21,172,0,33,0,0,279,530,2725,86,0,261,0,37,0,16,0,0,0,14,0,0,0,0,0,4,0
TB155,85041,43727,514,170,1398,888,581,917,1089,443,109,22622,4,4,0,154,4394,4601,754,304,0,7308,64,3,7,5,0,0,7,43,0,5,0,0,0,0,0
