index,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__Chloroflexi;c__Anaerolineae,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia,d__Bacteria;p__Myxococcota;c__Polyangia,d__Bacteria;p__Acidobacteriota;c__Blastocatellia,d__Bacteria;p__Planctomycetota;c__OM190,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia,d__Bacteria;p__Bdellovibrionota;c__Oligoflexia,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae,d__Bacteria;p__Patescibacteria;c__Gracilibacteria,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia,d__Bacteria;p__Campilobacterota;c__Campylobacteria,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,d__Archaea;p__Crenarchaeota;c__Nitrososphaeria,d__Bacteria;p__Bacteroidota;c__Rhodothermia,d__Bacteria;p__NB1-j;c__NB1-j,d__Bacteria;p__Planctomycetota;c__Phycisphaerae,d__Bacteria;p__Planctomycetota;c__vadinHA49,d__Bacteria;p__Acidobacteriota;c__Holophagae,d__Bacteria;p__Bacteroidota;c__Kapabacteria,d__Bacteria;p__Planctomycetota;c__Planctomycetes,d__Archaea;p__Halobacterota;c__Halobacteria,d__Bacteria;p__Proteobacteria;__,d__Bacteria;p__Deferribacterota;c__Deferribacteres,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria,d__Bacteria;p__Planctomycetota;c__BD7-11,d__Bacteria;p__Firmicutes;c__Clostridia,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia,d__Bacteria;p__Spirochaetota;c__Leptospirae,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,d__Bacteria;p__Myxococcota;c__Myxococcia,d__Bacteria;p__Actinobacteriota;c__Actinobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia,d__Bacteria;p__Fibrobacterota;c__Fibrobacteria,d__Bacteria;p__Acidobacteriota;__,d__Bacteria;p__Deinococcota;c__Deinococci,d__Bacteria;p__Firmicutes;c__Bacilli,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia,d__Bacteria;p__Bacteroidota;c__Chlorobia,d__Bacteria;p__Patescibacteria;c__Parcubacteria,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia,d__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B),d__Bacteria;p__Sumerlaeota;c__Sumerlaeia,d__Bacteria;p__Firmicutes;__,d__Bacteria;p__Spirochaetota;c__Spirochaetia,d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia,d__Bacteria;p__Calditrichota;c__Calditrichia,d__Bacteria;p__Patescibacteria;c__Saccharimonadia,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae,d__Bacteria;p__Latescibacterota;c__Latescibacterota,d__Bacteria;p__Myxococcota;__,d__Bacteria;p__Planctomycetota;c__028H05-P-BN-P5,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae,d__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group,d__Bacteria;p__Dependentiae;c__Babeliae,d__Bacteria;p__Bacteroidota;c__Ignavibacteria,d__Bacteria;p__Myxococcota;c__bacteriap25,d__Bacteria;p__Cyanobacteria;c__Sericytochromatia,d__Bacteria;p__WPS-2;c__WPS-2,d__Bacteria;p__MBNT15;c__MBNT15,d__Bacteria;p__Chloroflexi;c__Chloroflexia,d__Bacteria;p__Planctomycetota;c__Pla3_lineage,d__Bacteria;p__Nitrospirota;c__Nitrospiria,d__Bacteria;p__Hydrogenedentes;c__Hydrogenedentia,d__Bacteria;p__Acidobacteriota;c__Aminicenantia,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,d__Bacteria;p__Desulfobacterota;c__uncultured,d__Bacteria;p__Firmicutes;c__Negativicutes,d__Bacteria;p__Planctomycetota;c__Pla4_lineage,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia,d__Bacteria;p__Planctomycetota;__,d__Bacteria;p__Synergistota;c__Synergistia,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria,d__Bacteria;p__Acidobacteriota;c__Subgroup_26,d__Bacteria;p__Desulfobacterota;__,d__Bacteria;p__Margulisbacteria;c__Margulisbacteria,d__Bacteria;p__Dadabacteria;c__Dadabacteriia,d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia,d__Bacteria;p__Spirochaetota;c__MVP-15,d__Bacteria;p__Actinobacteriota;__
KF0052,31342,24208,7056,0,0,0,0,0,25,0,0,0,0,0,0,60,0,2973,0,11745,0,0,0,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0
KF0053,20803,19305,8912,0,0,0,3495,0,825,0,0,0,0,0,0,0,0,0,0,5578,0,0,1615,1572,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0054,39908,22805,4893,0,2,0,4,0,13,0,0,0,0,0,0,0,0,2441,0,5639,0,0,193,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0060,21976,22621,23615,0,0,0,0,0,0,0,0,0,0,0,0,227,0,1234,0,21674,0,0,0,563,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0070,39234,38915,11955,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5131,0,1764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0077,16528,20471,40017,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2975,0,9970,0,0,0,7338,0,0,0,0,7436,0,0,0,0,0,0,0,685,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2358,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0123,68457,18589,5373,189,145,0,4951,0,30,0,0,0,0,0,0,460,0,2134,7,141,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0129,53258,17538,8552,0,44,0,4101,0,67,0,0,0,0,0,0,324,0,1862,0,103,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2478
KF0136,113704,30084,13209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1776,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0147,72721,5873,2411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,35,0,0,7,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0150,36539,19767,24028,0,0,0,0,0,0,0,0,0,0,0,0,442,0,0,0,4919,0,0,0,685,0,0,0,0,0,0,0,0,0,0,0,4,4130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0168,48934,16436,13411,0,0,0,101,0,133,0,0,0,0,0,0,0,0,0,0,3,0,0,679,2965,0,0,0,0,0,0,0,0,0,0,0,0,18910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KF0170,59776,22892,13718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
