"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"Bray.TypeExp",1,1.56803835913214,1.56803835913214,4.14167164027276,0.152594567319404,1e-04
"Bray.Residuals",23,8.70780819738383,0.378600356407992,NA,0.847405432680596,NA
"Bray.Total",24,10.275846556516,NA,NA,1,NA
"Jacc.TypeExp",1,1.26609252152556,1.26609252152556,3.13843532641311,0.120069747374729,1e-04
"Jacc.Residuals",23,9.27854964861396,0.40341520211365,NA,0.879930252625271,NA
"Jacc.Total",24,10.5446421701395,NA,NA,1,NA
"gUni.TypeExp",1,1.07474598125763,1.07474598125763,6.8927923854706,0.23058375733479,1e-04
"gUni.Residuals",23,3.58623271767642,0.155923161638105,NA,0.76941624266521,NA
"gUni.Total",24,4.66097869893405,NA,NA,1,NA
"uUni.TypeExp",1,1.98961625190212,1.98961625190212,9.15985031968089,0.284822542040108,1e-04
"uUni.Residuals",23,4.99584296649762,0.217210563760766,NA,0.715177457959892,NA
"uUni.Total",24,6.98545921839974,NA,NA,1,NA
"wUni.TypeExp",1,0.200594066898016,0.200594066898016,4.49784227008334,0.163570734965515,5e-04
"wUni.Residuals",23,1.02575040688763,0.0445978437777231,NA,0.836429265034485,NA
"wUni.Total",24,1.22634447378565,NA,NA,1,NA
"rAitch.TypeExp",1,15.3941451146674,15.3941451146674,5.88447788406861,0.203724571643174,1e-04
"rAitch.Residuals",23,60.1693717969322,2.61605964334488,NA,0.796275428356826,NA
"rAitch.Total",24,75.5635169115995,NA,NA,1,NA
