"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"Bray.SourceID",6,8.09567181202083,1.3492786353368,6.63945556644455,0.562373947630634,1e-04
"Bray.Residuals",31,6.29985957084125,0.20322127647875,NA,0.437626052369366,NA
"Bray.Total",37,14.3955313828621,NA,NA,1,NA
"Jacc.SourceID",6,7.08123927622976,1.18020654603829,4.54020263775866,0.467730891945645,1e-04
"Jacc.Residuals",31,8.05831938489171,0.25994578660941,NA,0.532269108054355,NA
"Jacc.Total",37,15.1395586611215,NA,NA,1,NA
"gUni.SourceID",6,1.93946793197502,0.323244655329171,5.63067030349562,0.521486948036872,1e-04
"gUni.Residuals",31,1.77964323519055,0.0574078462964692,NA,0.478513051963128,NA
"gUni.Total",37,3.71911116716557,NA,NA,1,NA
"uUni.SourceID",6,3.51639617361689,0.586066028936148,4.7676270314974,0.479916054060138,1e-04
"uUni.Residuals",31,3.81071060655398,0.122926148598516,NA,0.520083945939862,NA
"uUni.Total",37,7.32710678017087,NA,NA,1,NA
"wUni.SourceID",6,1.00898691878103,0.168164486463505,7.23503037140675,0.583390349659009,1e-04
"wUni.Residuals",31,0.720535894496187,0.0232430933708448,NA,0.416609650340991,NA
"wUni.Total",37,1.72952281327722,NA,NA,1,NA
"rAitch.SourceID",6,77.2921309173401,12.8820218195567,17.5046080732441,0.772105153947466,1e-04
"rAitch.Residuals",31,22.8135742734311,0.735921750755842,NA,0.227894846052533,NA
"rAitch.Total",37,100.105705190771,NA,NA,1,NA
