"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"Bray.SourceID",6,4.12932473551244,0.688220789252074,2.76930604495698,0.582297951022492,1e-04
"Bray.Genus",4,0.973965189750792,0.243491297437698,0.979775578446904,0.137343989800971,0.5458
"Bray.Residuals",8,1.98813934777733,0.248517418472166,NA,0.280358059176536,NA
"Bray.Total",18,7.09142927304056,NA,NA,1,NA
"Jacc.SourceID",6,3.4985232032652,0.5830872005442,1.97846212456639,0.472345281491408,1e-04
"Jacc.Genus",4,1.55044486112941,0.387611215282353,1.31519626528854,0.209329843427528,0.0029
"Jacc.Residuals",8,2.35773914821642,0.294717393527053,NA,0.318324875081064,NA
"Jacc.Total",18,7.40670721261104,NA,NA,1,NA
"gUni.SourceID",6,1.02524860167445,0.170874766945742,2.87412072670289,0.552374896914794,1e-04
"gUni.Genus",4,0.355202174364222,0.0888005435910554,1.49362885720029,0.191372867154271,0.0247
"gUni.Residuals",8,0.475623074168538,0.0594528842710673,NA,0.256252235930935,NA
"gUni.Total",18,1.85607385020721,NA,NA,1,NA
"uUni.SourceID",6,1.75551864719408,0.292586441199013,2.17421348886211,0.478504904219017,1e-04
"uUni.Genus",4,0.836669935595411,0.209167483898853,1.55432617813928,0.228052643037949,0.0017
"uUni.Residuals",8,1.07656931648286,0.134571164560358,NA,0.293442452743035,NA
"uUni.Total",18,3.66875789927235,NA,NA,1,NA
"wUni.SourceID",6,0.509759185020517,0.0849598641700862,3.97359342496243,0.622112201019186,1e-04
"wUni.Genus",4,0.138592601854094,0.0346481504635234,1.6205023891439,0.169138979969445,0.0918
"wUni.Residuals",8,0.171048932457682,0.0213811165572103,NA,0.208748819011369,NA
"wUni.Total",18,0.819400719332293,NA,NA,1,NA
"rAitch.SourceID",6,39.5375687499899,6.58959479166499,12.8545442024007,0.811278833105735,1e-04
"rAitch.Genus",4,5.09628039775781,1.27407009943945,2.48537139657163,0.104571539044713,0.0197
"rAitch.Residuals",8,4.10102120334025,0.512627650417532,NA,0.0841496278495527,NA
"rAitch.Total",18,48.734870351088,NA,NA,1,NA
