"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"Bray.SourceID",6,4.12932473551244,0.688220789252074,2.78810196142393,0.582297951022492,1e-04
"Bray.Residuals",12,2.96210453752812,0.24684204479401,NA,0.417702048977508,NA
"Bray.Total",18,7.09142927304056,NA,NA,1,NA
"Jacc.SourceID",6,3.4985232032652,0.5830872005442,1.79035746264711,0.472345281491408,1e-04
"Jacc.Residuals",12,3.90818400934583,0.325682000778819,NA,0.527654718508592,NA
"Jacc.Total",18,7.40670721261104,NA,NA,1,NA
"gUni.SourceID",6,1.02524860167445,0.170874766945742,2.46802466218991,0.552374896914794,1e-04
"gUni.Residuals",12,0.83082524853276,0.06923543737773,NA,0.447625103085206,NA
"gUni.Total",18,1.85607385020721,NA,NA,1,NA
"uUni.SourceID",6,1.75551864719408,0.292586441199013,1.83512714919175,0.478504904219017,1e-04
"uUni.Residuals",12,1.91323925207827,0.159436604339856,NA,0.521495095780983,NA
"uUni.Total",18,3.66875789927235,NA,NA,1,NA
"wUni.SourceID",6,0.509759185020517,0.0849598641700862,3.2925762763289,0.622112201019186,2e-04
"wUni.Residuals",12,0.309641534311776,0.025803461192648,NA,0.377887798980814,NA
"wUni.Total",18,0.819400719332293,NA,NA,1,NA
"rAitch.SourceID",6,39.5375687499899,6.58959479166499,8.59764536704321,0.811278833105735,1e-04
"rAitch.Residuals",12,9.19730160109806,0.766441800091505,NA,0.188721166894265,NA
"rAitch.Total",18,48.734870351088,NA,NA,1,NA
