"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"Bray.TurtleID",3,2.65936294803887,0.886454316012956,3.22258000716841,0.375010854038825,1e-04
"Bray.Genus",6,1.95638260997526,0.32606376832921,1.18535897665408,0.275879873386431,0.1105
"Bray.Residuals",9,2.47568371502643,0.27507596833627,NA,0.349109272574743,NA
"Bray.Total",18,7.09142927304056,NA,NA,1,NA
"Jacc.TurtleID",3,2.23832016282539,0.746106720941796,2.32635333417702,0.302201787997548,1e-04
"Jacc.Genus",6,2.28191215802047,0.380318693003411,1.18582990165471,0.308087263681109,0.0184
"Jacc.Residuals",9,2.88647489176518,0.320719432418353,NA,0.389710948321343,NA
"Jacc.Total",18,7.40670721261104,NA,NA,1,NA
"gUni.TurtleID",3,0.632879743646011,0.21095991454867,3.30927689262688,0.340977673692971,1e-04
"gUni.Genus",6,0.649461749752913,0.108243624958819,1.69799142939901,0.349911588744385,0.0012
"gUni.Residuals",9,0.57373235680829,0.0637480396453655,NA,0.309110737562645,NA
"gUni.Total",18,1.85607385020721,NA,NA,1,NA
"uUni.TurtleID",3,1.0672153458382,0.355738448612734,2.2585456502276,0.290892823985434,1e-04
"uUni.Genus",6,1.18397278361702,0.197328797269504,1.2528195883118,0.322717610734644,0.0322
"uUni.Residuals",9,1.41756976981712,0.157507752201902,NA,0.386389565279922,NA
"uUni.Total",18,3.66875789927235,NA,NA,1,NA
"wUni.TurtleID",3,0.305142300851983,0.101714100283994,4.72667983605289,0.372396916005437,1e-04
"wUni.Genus",6,0.320586129620485,0.0534310216034142,2.48295301956582,0.391244628002916,0.0011
"wUni.Residuals",9,0.193672288859825,0.0215191432066473,NA,0.236358455991647,NA
"wUni.Total",18,0.819400719332293,NA,NA,1,NA
"rAitch.TurtleID",3,33.7704262162407,11.2568087387469,13.8971965235768,0.692941747314749,1e-04
"rAitch.Genus",6,7.67439261425136,1.27906543570856,1.57908197066294,0.157472310051606,0.1111
"rAitch.Residuals",9,7.29005152059596,0.810005724510663,NA,0.149585942633645,NA
"rAitch.Total",18,48.734870351088,NA,NA,1,NA
