"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"Bray.TurtleID",3,2.65936294803887,0.886454316012956,3.00013893410976,0.375010854038825,1e-04
"Bray.Residuals",15,4.43206632500169,0.295471088333446,NA,0.624989145961175,NA
"Bray.Total",18,7.09142927304056,NA,NA,1,NA
"Jacc.TurtleID",3,2.23832016282539,0.746106720941796,2.16539525896984,0.302201787997548,1e-04
"Jacc.Residuals",15,5.16838704978565,0.344559136652377,NA,0.697798212002452,NA
"Jacc.Total",18,7.40670721261104,NA,NA,1,NA
"gUni.TurtleID",3,0.632879743646011,0.21095991454867,2.58699637388395,0.340977673692971,2e-04
"gUni.Residuals",15,1.2231941065612,0.0815462737707469,NA,0.659022326307029,NA
"gUni.Total",18,1.85607385020721,NA,NA,1,NA
"uUni.TurtleID",3,1.0672153458382,0.355738448612734,2.05112029482169,0.290892823985434,1e-04
"uUni.Residuals",15,2.60154255343415,0.173436170228943,NA,0.709107176014566,NA
"uUni.Total",18,3.66875789927235,NA,NA,1,NA
"wUni.TurtleID",3,0.305142300851983,0.101714100283994,2.96681872271252,0.372396916005437,0.002
"wUni.Residuals",15,0.51425841848031,0.034283894565354,NA,0.627603083994563,NA
"wUni.Total",18,0.819400719332293,NA,NA,1,NA
"rAitch.TurtleID",3,33.7704262162407,11.2568087387469,11.2835551765001,0.692941747314749,1e-04
"rAitch.Residuals",15,14.9644441348473,0.997629608989821,NA,0.307058252685251,NA
"rAitch.Total",18,48.734870351088,NA,NA,1,NA
